1.000E+05	4.496E+00	-1.603E-01	
7.943E+04	4.632E+00	-1.348E+00	
6.310E+04	4.800E+00	-2.532E+00	
5.012E+04	5.095E+00	-3.795E+00	
3.981E+04	5.425E+00	-5.083E+00	
3.162E+04	5.936E+00	-6.497E+00	
2.512E+04	6.604E+00	-8.175E+00	
1.995E+04	7.409E+00	-9.946E+00	
1.585E+04	8.535E+00	-1.203E+01	
1.259E+04	9.965E+00	-1.434E+01	
1.000E+04	1.181E+01	-1.690E+01	
7.943E+03	1.407E+01	-1.978E+01	
6.310E+03	1.677E+01	-2.291E+01	
5.012E+03	2.032E+01	-2.635E+01	
3.981E+03	2.456E+01	-2.981E+01	
3.162E+03	2.963E+01	-3.319E+01	
2.512E+03	3.560E+01	-3.644E+01	
1.995E+03	4.232E+01	-3.927E+01	
1.585E+03	4.996E+01	-4.122E+01	
1.259E+03	5.809E+01	-4.217E+01	
1.000E+03	6.642E+01	-4.198E+01	
7.943E+02	7.455E+01	-4.062E+01	
6.310E+02	8.227E+01	-3.816E+01	
5.012E+02	8.892E+01	-3.487E+01	
3.981E+02	9.454E+01	-3.093E+01	
3.162E+02	9.892E+01	-2.689E+01	
2.512E+02	1.022E+02	-2.298E+01	
1.995E+02	1.048E+02	-1.941E+01	
1.585E+02	1.067E+02	-1.626E+01	
1.259E+02	1.080E+02	-1.354E+01	
1.000E+02	1.090E+02	-1.136E+01	
7.943E+01	1.098E+02	-9.550E+00	
6.310E+01	1.104E+02	-8.186E+00	
5.200E+01	1.108E+02	-7.220E+00	
3.981E+01	1.114E+02	-6.163E+00	
3.162E+01	1.118E+02	-5.555E+00	
2.512E+01	1.122E+02	-4.975E+00	
1.995E+01	1.126E+02	-4.611E+00	
1.585E+01	1.131E+02	-4.386E+00	
1.259E+01	1.134E+02	-4.198E+00	
1.000E+01	1.139E+02	-4.193E+00	
7.943E+00	1.144E+02	-4.181E+00	
6.310E+00	1.148E+02	-4.002E+00	
5.012E+00	1.155E+02	-4.234E+00	
3.981E+00	1.160E+02	-4.405E+00	
3.162E+00	1.167E+02	-4.408E+00	
2.512E+00	1.173E+02	-4.291E+00	
1.995E+00	1.178E+02	-4.374E+00	
1.585E+00	1.184E+02	-4.421E+00	
1.259E+00	1.194E+02	-4.581E+00	
1.000E+00	1.199E+02	-4.582E+00	
7.943E-01	1.207E+02	-4.420E+00	
6.310E-01	1.213E+02	-4.334E+00	
5.012E-01	1.220E+02	-4.380E+00	
3.981E-01	1.227E+02	-4.349E+00	
3.162E-01	1.231E+02	-4.025E+00	
2.512E-01	1.238E+02	-4.040E+00	
1.995E-01	1.241E+02	-3.722E+00	
1.585E-01	1.245E+02	-3.742E+00	
1.259E-01	1.251E+02	-3.557E+00	
1.000E-01	1.254E+02	-3.662E+00	
7.943E-02	1.257E+02	-3.346E+00	
6.310E-02	1.262E+02	-3.252E+00	
5.012E-02	1.264E+02	-3.233E+00	
3.981E-02	1.270E+02	-2.931E+00	
3.162E-02	1.274E+02	-2.831E+00	
2.512E-02	1.279E+02	-2.870E+00	
1.995E-02	1.287E+02	-2.911E+00	
1.585E-02	1.293E+02	-2.698E+00	
1.259E-02	1.299E+02	-2.676E+00	
1.000E-02	1.310E+02	-2.551E+00	
